Gene stable ID	Transcript stable ID	Protein stable ID	Gene description	Gene name	NCBI gene (formerly Entrezgene) ID	Gene type
FBgn0034470	FBtr0086477	FBpp0085673	-	Obp56d	37266	protein_coding
FBgn0262106	FBtr0304029	-	-	lncRNA:CR42859	-	ncRNA
FBgn0262106	FBtr0335160	-	-	lncRNA:CR42859	-	ncRNA
FBgn0262106	FBtr0309033	-	-	lncRNA:CR42859	-	ncRNA
FBgn0085207	FBtr0112371	FBpp0111286	-	CG34178	5740515	protein_coding
FBgn0085207	FBtr0112370	FBpp0111285	-	CG34178	5740515	protein_coding
FBgn0085207	FBtr0112369	FBpp0111284	-	CG34178	5740515	protein_coding
FBgn0036795	FBtr0304702	FBpp0293245	-	CG18233	40025	protein_coding
FBgn0037763	FBtr0082154	FBpp0081632	-	CG16904	41212	protein_coding
FBgn0010213	FBtr0087078	FBpp0086226	-	Sod2	36878	protein_coding
FBgn0010213	FBtr0345492	FBpp0311603	-	Sod2	36878	protein_coding
FBgn0261974	FBtr0303792	-	-	snoRNA:Or-CD9b	-	snoRNA
FBgn0053362	FBtr0086354	-	-	5SrRNA:CR33362	-	rRNA
FBgn0265995	FBtr0343104	-	-	lncRNA:CR44770	-	ncRNA
FBgn0032122	FBtr0079829	FBpp0079427	-	CG31883	326169	protein_coding
FBgn0260759	FBtr0301256	FBpp0290471	-	CG42557	43548	protein_coding
FBgn0267895	FBtr0347449	-	-	CR46183	-	pseudogene
FBgn0031954	FBtr0079526	FBpp0079149	-	CG14537	34072	protein_coding
FBgn0024542	FBtr0076835	FBpp0076546	-	Neos	38795	protein_coding
FBgn0024542	FBtr0333367	FBpp0305559	-	Neos	38795	protein_coding
FBgn0004838	FBtr0307032	FBpp0297875	-	Hrb27C	33968	protein_coding
FBgn0004838	FBtr0079347	FBpp0078975	-	Hrb27C	33968	protein_coding
FBgn0004838	FBtr0079346	FBpp0078974	-	Hrb27C	33968	protein_coding
FBgn0004838	FBtr0307031	FBpp0297874	-	Hrb27C	33968	protein_coding
FBgn0004838	FBtr0301403	FBpp0290617	-	Hrb27C	33968	protein_coding
FBgn0004838	FBtr0307030	FBpp0297873	-	Hrb27C	33968	protein_coding
FBgn0004838	FBtr0301404	FBpp0290618	-	Hrb27C	33968	protein_coding
FBgn0004838	FBtr0079348	FBpp0078976	-	Hrb27C	33968	protein_coding
FBgn0004910	FBtr0303422	FBpp0292483	-	Eip63F-1	47878	protein_coding
FBgn0004910	FBtr0073174	FBpp0073031	-	Eip63F-1	47878	protein_coding
FBgn0004910	FBtr0303421	FBpp0292482	-	Eip63F-1	47878	protein_coding
FBgn0004910	FBtr0303420	FBpp0292481	-	Eip63F-1	47878	protein_coding
FBgn0267440	FBtr0346785	-	-	lncRNA:CR45790	-	ncRNA
FBgn0053278	FBtr0076857	FBpp0076567	-	CG33278	2768946	protein_coding
FBgn0265540	FBtr0344891	-	-	asRNA:CR44390	-	ncRNA
FBgn0265540	FBtr0340132	-	-	asRNA:CR44390	-	ncRNA
FBgn0259194	FBtr0299678	FBpp0288956	-	Ir94e	42765	protein_coding
FBgn0267162	FBtr0346266	-	-	lncRNA:CR45602	-	ncRNA
FBgn0035346	FBtr0072923	FBpp0072800	-	CG1146	38313	protein_coding
FBgn0035346	FBtr0072921	FBpp0072798	-	CG1146	38313	protein_coding
FBgn0035346	FBtr0344219	FBpp0310625	-	CG1146	38313	protein_coding
FBgn0035346	FBtr0072922	FBpp0072799	-	CG1146	38313	protein_coding
FBgn0034546	FBtr0086240	FBpp0085553	-	CG13442	37349	protein_coding
FBgn0061198	FBtr0343346	FBpp0310003	-	HSPC300	246497	protein_coding
FBgn0061198	FBtr0072194	FBpp0072103	-	HSPC300	246497	protein_coding
FBgn0031231	FBtr0078124	FBpp0077783	-	mRpL10	33182	protein_coding
FBgn0035112	FBtr0304058	FBpp0293021	-	CG13877	38036	protein_coding
FBgn0035112	FBtr0300710	FBpp0289934	-	CG13877	38036	protein_coding
FBgn0270926	FBtr0089463	FBpp0089009	-	AsnS	2768965	protein_coding
FBgn0264871	FBtr0334815	-	-	asRNA:CR44062	-	ncRNA
FBgn0053988	FBtr0100033	FBpp0100042	-	Mid1	37953	protein_coding
FBgn0053988	FBtr0331983	FBpp0304308	-	Mid1	37953	protein_coding
FBgn0029094	FBtr0074947	FBpp0074715	-	asf1	40141	protein_coding
FBgn0029094	FBtr0302381	FBpp0291576	-	asf1	40141	protein_coding
FBgn0265874	FBtr0342725	-	-	lncRNA:CR44663	-	ncRNA
FBgn0033592	FBtr0088192	FBpp0087288	-	CG13215	36182	protein_coding
FBgn0033316	FBtr0088695	FBpp0087775	-	Gle1	35849	protein_coding
FBgn0034052	FBtr0087291	FBpp0086427	-	CG8299	36751	protein_coding
FBgn0032262	FBtr0080135	FBpp0079724	-	CG7384	34447	protein_coding
FBgn0263401	FBtr0309178	FBpp0301132	-	CG43447	12798275	protein_coding
FBgn0265947	FBtr0342918	-	-	lncRNA:CR44734	-	ncRNA
FBgn0259982	FBtr0080708	FBpp0080268	-	Uxt	34893	protein_coding
FBgn0259982	FBtr0310430	FBpp0302578	-	Uxt	34893	protein_coding
FBgn0026430	FBtr0074776	FBpp0074545	-	Grip84	32946	protein_coding
FBgn0026430	FBtr0074777	FBpp0074546	-	Grip84	32946	protein_coding
FBgn0026430	FBtr0301307	FBpp0290522	-	Grip84	32946	protein_coding
FBgn0026430	FBtr0343590	FBpp0310187	-	Grip84	32946	protein_coding
FBgn0026430	FBtr0301308	FBpp0290523	-	Grip84	32946	protein_coding
FBgn0026430	FBtr0074775	FBpp0074544	-	Grip84	32946	protein_coding
FBgn0267317	FBtr0346598	-	-	lncRNA:CR45753	-	ncRNA
FBgn0037305	FBtr0078821	FBpp0078463	-	CG12173	40630	protein_coding
FBgn0047000	FBtr0347286	FBpp0312529	-	CG33946	26067038	protein_coding
FBgn0034151	FBtr0087083	FBpp0086231	-	CG15617	36871	protein_coding
FBgn0029502	FBtr0070963	FBpp0070924	-	Coq7	44007	protein_coding
FBgn0031533	FBtr0077516	FBpp0077205	-	CG2772	33559	protein_coding
FBgn0016926	FBtr0077988	FBpp0077653	-	Pino	33288	protein_coding
FBgn0016926	FBtr0332272	FBpp0304561	-	Pino	33288	protein_coding
FBgn0016926	FBtr0077987	FBpp0077652	-	Pino	33288	protein_coding
FBgn0039461	FBtr0085064	FBpp0084436	-	CG5500	43233	protein_coding
FBgn0260741	FBtr0082511	FBpp0081985	-	CG3281	41445	protein_coding
FBgn0037831	FBtr0082273	FBpp0081750	-	Cap-H2	41289	protein_coding
FBgn0037831	FBtr0302571	FBpp0291727	-	Cap-H2	41289	protein_coding
FBgn0037831	FBtr0301311	FBpp0290526	-	Cap-H2	41289	protein_coding
FBgn0037831	FBtr0301310	FBpp0290525	-	Cap-H2	41289	protein_coding
FBgn0263855	FBtr0086032	FBpp0085368	-	BubR1	35522	protein_coding
FBgn0026083	FBtr0305179	FBpp0293709	-	tyf	31363	protein_coding
FBgn0026083	FBtr0301124	FBpp0290346	-	tyf	31363	protein_coding
FBgn0026083	FBtr0345713	FBpp0311757	-	tyf	31363	protein_coding
FBgn0026083	FBtr0305180	FBpp0293710	-	tyf	31363	protein_coding
FBgn0026083	FBtr0305185	FBpp0293715	-	tyf	31363	protein_coding
FBgn0026083	FBtr0305183	FBpp0293713	-	tyf	31363	protein_coding
FBgn0026083	FBtr0305184	FBpp0293714	-	tyf	31363	protein_coding
FBgn0026083	FBtr0300931	FBpp0290153	-	tyf	31363	protein_coding
FBgn0026083	FBtr0070643	FBpp0070611	-	tyf	31363	protein_coding
FBgn0026083	FBtr0305182	FBpp0293712	-	tyf	31363	protein_coding
FBgn0026083	FBtr0305181	FBpp0293711	-	tyf	31363	protein_coding
FBgn0051827	FBtr0080759	FBpp0080318	-	CG31827	34923	protein_coding
FBgn0051827	FBtr0080759	FBpp0080318	-	CG31827	318965	protein_coding
FBgn0033698	FBtr0088008	FBpp0087116	-	CG8858	36319	protein_coding
FBgn0013432	FBtr0070431	FBpp0070415	-	bcn92	31186	protein_coding
FBgn0267754	FBtr0347318	-	-	lncRNA:CR46085	-	ncRNA
FBgn0036329	FBtr0075872	FBpp0075606	-	CG11262	39471	protein_coding
FBgn0050029	FBtr0088109	-	-	CR30029	-	pseudogene
FBgn0050029	FBtr0339480	-	-	CR30029	-	pseudogene
FBgn0045477	FBtr0309790	FBpp0301543	-	Gr64c	117479	protein_coding
FBgn0045477	FBtr0073196	FBpp0073052	-	Gr64c	117479	protein_coding
FBgn0039070	FBtr0084383	FBpp0083775	-	CG17083	42755	protein_coding
FBgn0010225	FBtr0078968	FBpp0078607	-	Gel	46008	protein_coding
FBgn0010225	FBtr0309257	FBpp0301196	-	Gel	46008	protein_coding
FBgn0010225	FBtr0078971	FBpp0078610	-	Gel	46008	protein_coding
FBgn0010225	FBtr0336707	FBpp0307688	-	Gel	46008	protein_coding
FBgn0010225	FBtr0078969	FBpp0078608	-	Gel	46008	protein_coding
FBgn0010225	FBtr0309256	FBpp0301195	-	Gel	46008	protein_coding
FBgn0010225	FBtr0078973	FBpp0078612	-	Gel	46008	protein_coding
FBgn0035959	FBtr0331549	FBpp0303939	-	CG4911	39043	protein_coding
FBgn0035959	FBtr0076542	FBpp0076269	-	CG4911	39043	protein_coding
FBgn0035959	FBtr0345351	FBpp0311506	-	CG4911	39043	protein_coding
FBgn0063449	FBtr0330683	-	-	Uhg2	-	ncRNA
FBgn0063449	FBtr0079906	-	-	Uhg2	-	ncRNA
FBgn0003512	FBtr0085558	FBpp0084924	-	Sry-delta	43572	protein_coding
FBgn0031331	FBtr0305552	FBpp0294003	-	CG5440	33318	protein_coding
FBgn0031331	FBtr0343837	FBpp0310385	-	CG5440	33318	protein_coding
FBgn0011291	FBtr0079924	FBpp0079514	-	Taf11	34293	protein_coding
FBgn0033924	FBtr0087546	FBpp0086674	-	CG8613	36593	protein_coding
FBgn0267800	FBtr0347369	-	-	lncRNA:CR46125	-	ncRNA
FBgn0032971	FBtr0085935	FBpp0085289	-	ttm3	35437	protein_coding
FBgn0053439	FBtr0086431	-	-	5SrRNA:CR33439	-	rRNA
FBgn0263868	FBtr0343259	-	-	lncRNA:CR43715	-	ncRNA
FBgn0033085	FBtr0086114	FBpp0085448	-	CG15908	35567	protein_coding
FBgn0052488	FBtr0346075	FBpp0311913	-	CG32488	326220	protein_coding
FBgn0052488	FBtr0073008	FBpp0072878	-	CG32488	326220	protein_coding
FBgn0033597	FBtr0088190	FBpp0087286	-	Cpr47Ea	36188	protein_coding
FBgn0084049	FBtr0111304	-	-	CR41440	-	pseudogene
FBgn0020261	FBtr0074784	FBpp0074553	-	pcm	32935	protein_coding
FBgn0020261	FBtr0302082	FBpp0291292	-	pcm	32935	protein_coding
FBgn0037661	FBtr0081971	FBpp0081451	-	Ada	41092	protein_coding
FBgn0031001	FBtr0332392	FBpp0304666	-	CG7884	32914	protein_coding
FBgn0031001	FBtr0074674	FBpp0074445	-	CG7884	32914	protein_coding
FBgn0050416	FBtr0300955	FBpp0290177	-	CG30416	246603	protein_coding
FBgn0050416	FBtr0343205	FBpp0309893	-	CG30416	246603	protein_coding
FBgn0032789	FBtr0081242	FBpp0080783	-	CG13083	35230	protein_coding
FBgn0082941	FBtr0113507	-	-	snoRNA:Me28S-A992	-	snoRNA
FBgn0039735	FBtr0085606	FBpp0084971	-	Nph	43559	protein_coding
FBgn0039735	FBtr0113308	FBpp0112220	-	Nph	43559	protein_coding
FBgn0042175	FBtr0081364	FBpp0080896	-	CG18858	326109	protein_coding
FBgn0042175	FBtr0332971	FBpp0305187	-	CG18858	326109	protein_coding
FBgn0085457	FBtr0473611	FBpp0423074	-	CG34428	5740867	protein_coding
FBgn0031815	FBtr0079258	FBpp0078888	-	frj	33900	protein_coding
FBgn0031815	FBtr0079259	FBpp0078889	-	frj	33900	protein_coding
FBgn0032248	FBtr0080044	FBpp0079634	-	Bug22	34429	protein_coding
FBgn0085487	FBtr0112764	FBpp0111676	-	CG34458	5740868	protein_coding
FBgn0032109	FBtr0336622	FBpp0307605	-	CG17005	34249	protein_coding
FBgn0032109	FBtr0336624	FBpp0307607	-	CG17005	34249	protein_coding
FBgn0032109	FBtr0336623	FBpp0307606	-	CG17005	34249	protein_coding
FBgn0032109	FBtr0273186	FBpp0271694	-	CG17005	34249	protein_coding
FBgn0034509	FBtr0086292	FBpp0085604	-	Obp57c	37311	protein_coding
FBgn0267506	FBtr0346877	-	-	pre-rRNA:CR45846	-	rRNA
FBgn0035852	FBtr0076723	FBpp0076446	-	CG7387	38915	protein_coding
FBgn0264727	FBtr0334112	-	-	lncRNA:CR43995	-	ncRNA
FBgn0030293	FBtr0073453	FBpp0073309	-	CG1737	32077	protein_coding
FBgn0030293	FBtr0340050	FBpp0309057	-	CG1737	32077	protein_coding
FBgn0030293	FBtr0340049	FBpp0309056	-	CG1737	32077	protein_coding
FBgn0261639	FBtr0303009	-	-	CR42722	-	pseudogene
FBgn0264339	FBtr0331989	FBpp0304311	-	CG43795	5740629	protein_coding
FBgn0031785	FBtr0079202	FBpp0078833	-	CG13991	33868	protein_coding
FBgn0267938	FBtr0347513	-	-	lncRNA:CR46218	-	ncRNA
FBgn0032913	FBtr0332033	FBpp0304345	-	CG9259	35372	protein_coding
FBgn0032913	FBtr0332034	FBpp0304346	-	CG9259	35372	protein_coding
FBgn0032913	FBtr0081464	FBpp0080993	-	CG9259	35372	protein_coding
FBgn0032554	FBtr0305558	FBpp0294009	-	CG15278	34865	protein_coding
FBgn0032554	FBtr0080683	FBpp0080245	-	CG15278	34865	protein_coding
FBgn0032554	FBtr0343682	FBpp0310271	-	CG15278	34865	protein_coding
FBgn0050181	FBtr0072116	FBpp0072025	-	ppk3	246504	protein_coding
FBgn0030691	FBtr0074192	FBpp0073977	-	Efhc1.1	32528	protein_coding
FBgn0038610	FBtr0083581	FBpp0083002	-	CG7675	42211	protein_coding
FBgn0038610	FBtr0344551	FBpp0310904	-	CG7675	42211	protein_coding
FBgn0038610	FBtr0083582	FBpp0083003	-	CG7675	42211	protein_coding
FBgn0038610	FBtr0344550	FBpp0310903	-	CG7675	42211	protein_coding
FBgn0038610	FBtr0083583	FBpp0083004	-	CG7675	42211	protein_coding
FBgn0001308	FBtr0087184	FBpp0086328	-	Khc	36810	protein_coding
FBgn0004598	FBtr0074264	FBpp0074041	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0074266	FBpp0074043	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0074265	FBpp0074042	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0301301	FBpp0290516	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0301300	FBpp0290515	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0074267	FBpp0089399	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0074261	FBpp0074038	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0074263	FBpp0074040	-	Fur2	32604	protein_coding
FBgn0004598	FBtr0074262	FBpp0074039	-	Fur2	32604	protein_coding
FBgn0014133	FBtr0073526	FBpp0073371	-	bif	32119	protein_coding
FBgn0014133	FBtr0334464	FBpp0306540	-	bif	32119	protein_coding
FBgn0014133	FBtr0334463	FBpp0306539	-	bif	32119	protein_coding
FBgn0014133	FBtr0073527	FBpp0073372	-	bif	32119	protein_coding
FBgn0014133	FBtr0334465	FBpp0306541	-	bif	32119	protein_coding
FBgn0013749	FBtr0089192	FBpp0088256	-	Arf102F	43823	protein_coding
FBgn0013749	FBtr0333699	FBpp0305852	-	Arf102F	43823	protein_coding
FBgn0020647	FBtr0084507	FBpp0083895	-	KrT95D	42843	protein_coding
FBgn0020647	FBtr0301418	FBpp0290632	-	KrT95D	42843	protein_coding
FBgn0020647	FBtr0339250	FBpp0308357	-	KrT95D	42843	protein_coding
FBgn0020647	FBtr0084506	FBpp0083894	-	KrT95D	42843	protein_coding
FBgn0020647	FBtr0084508	FBpp0089255	-	KrT95D	42843	protein_coding
FBgn0038405	FBtr0344472	FBpp0310843	-	CG8927	41964	protein_coding
FBgn0038405	FBtr0100110	FBpp0100146	-	CG8927	41964	protein_coding
FBgn0036450	FBtr0075691	FBpp0075441	-	Tdrd3	39612	protein_coding
FBgn0000629	FBtr0076279	FBpp0076008	-	E(z)	39203	protein_coding
FBgn0000629	FBtr0334067	FBpp0306192	-	E(z)	39203	protein_coding
FBgn0000629	FBtr0273338	FBpp0271846	-	E(z)	39203	protein_coding
FBgn0037100	FBtr0078379	FBpp0078034	-	CapaR	40393	protein_coding
FBgn0037100	FBtr0333458	FBpp0305648	-	CapaR	40393	protein_coding
FBgn0263527	FBtr0309608	-	-	mir-4908	-	pre_miRNA
FBgn0260480	FBtr0072962	FBpp0072832	-	CG32295	317962	protein_coding
FBgn0003926	FBtr0077928	-	-	snRNA:U3	-	snRNA
FBgn0030796	FBtr0074336	FBpp0074110	-	CG4829	32672	protein_coding
FBgn0030796	FBtr0074338	FBpp0074112	-	CG4829	32672	protein_coding
FBgn0030796	FBtr0112995	FBpp0111908	-	CG4829	32672	protein_coding
FBgn0030796	FBtr0112994	FBpp0111907	-	CG4829	32672	protein_coding
FBgn0030796	FBtr0335278	FBpp0307256	-	CG4829	32672	protein_coding
FBgn0030796	FBtr0074337	FBpp0074111	-	CG4829	32672	protein_coding
FBgn0033868	FBtr0087649	FBpp0086775	-	S-Lap7	36524	protein_coding
FBgn0033868	FBtr0332255	FBpp0304547	-	S-Lap7	36524	protein_coding
FBgn0025582	FBtr0075345	FBpp0075104	-	eIF3e	39877	protein_coding
FBgn0028912	FBtr0080646	-	-	tRNA:Pro-AGG-1-2	-	tRNA
FBgn0035358	FBtr0072949	FBpp0072826	-	CG14949	38328	protein_coding
FBgn0085353	FBtr0112526	FBpp0111438	-	CG34324	32302	protein_coding
FBgn0036881	FBtr0113181	FBpp0112094	-	Cpr76Bd	40123	protein_coding
FBgn0036881	FBtr0332756	FBpp0304995	-	Cpr76Bd	40123	protein_coding
FBgn0036881	FBtr0332755	FBpp0304994	-	Cpr76Bd	40123	protein_coding
FBgn0031197	FBtr0077361	FBpp0077053	-	CG17601	33143	protein_coding
FBgn0036287	FBtr0113167	FBpp0112080	-	CG10663	39421	protein_coding
FBgn0036287	FBtr0346570	FBpp0312168	-	CG10663	39421	protein_coding
FBgn0005695	FBtr0339337	FBpp0308437	-	gcl	35864	protein_coding
FBgn0005695	FBtr0088710	FBpp0087789	-	gcl	35864	protein_coding
FBgn0013692	FBtr0100875	-	-	mt:tRNA:Glu-TTC	-	tRNA
FBgn0035153	FBtr0072610	FBpp0072506	-	ebd1	38082	protein_coding
FBgn0033816	FBtr0087759	FBpp0086872	-	CG4679	36466	protein_coding
FBgn0036286	FBtr0346569	FBpp0312167	-	CG10616	39420	protein_coding
FBgn0036286	FBtr0308896	FBpp0301023	-	CG10616	39420	protein_coding
FBgn0036286	FBtr0075956	FBpp0075688	-	CG10616	39420	protein_coding
FBgn0264359	FBtr0332254	-	-	lncRNA:CR43811	-	ncRNA
FBgn0053170	FBtr0089836	FBpp0088777	-	CG33170	326267	protein_coding
FBgn0053170	FBtr0299877	FBpp0289155	-	CG33170	326267	protein_coding
FBgn0053170	FBtr0337041	FBpp0307970	-	CG33170	326267	protein_coding
FBgn0083020	FBtr0113554	-	-	snoRNA:Psi18S-640g	-	snoRNA
FBgn0034681	FBtr0071749	FBpp0071663	-	CG9308	37507	protein_coding
FBgn0050257	FBtr0088131	-	-	tRNA:Thr-TGT-2-1	-	tRNA
FBgn0052939	FBtr0082085	FBpp0081563	-	CG32939	318260	protein_coding
FBgn0052939	FBtr0082085	FBpp0081563	-	CG32939	41176	protein_coding
FBgn0034731	FBtr0342991	FBpp0309755	-	CG10384	37567	protein_coding
FBgn0034731	FBtr0342992	FBpp0309756	-	CG10384	37567	protein_coding
FBgn0039013	FBtr0084326	FBpp0083719	-	CG4813	42690	protein_coding
FBgn0261789	FBtr0081737	FBpp0081234	-	SmD2	40781	protein_coding
FBgn0261679	FBtr0303074	FBpp0292193	-	CG42726	318709	protein_coding
FBgn0051992	FBtr0089101	FBpp0088170	-	gw	43808	protein_coding
FBgn0051992	FBtr0089100	FBpp0088169	-	gw	43808	protein_coding
FBgn0051992	FBtr0310543	FBpp0302680	-	gw	43808	protein_coding
FBgn0051992	FBtr0089096	FBpp0088165	-	gw	43808	protein_coding
FBgn0051992	FBtr0089097	FBpp0088166	-	gw	43808	protein_coding
FBgn0051992	FBtr0310542	FBpp0302679	-	gw	43808	protein_coding
FBgn0266415	FBtr0344396	-	-	lncRNA:CR45055	-	ncRNA
FBgn0286733	FBtr0474087	-	-	snoRNA:Me28S-C2789	-	snoRNA
FBgn0030980	FBtr0074664	FBpp0074435	-	CG7406	32892	protein_coding
FBgn0030624	FBtr0074021	FBpp0073838	-	CG9106	32454	protein_coding
FBgn0030624	FBtr0074022	FBpp0073839	-	CG9106	32454	protein_coding
FBgn0033904	FBtr0332918	FBpp0305138	-	CG18327	36567	protein_coding
FBgn0033904	FBtr0087522	FBpp0086651	-	CG18327	36567	protein_coding
FBgn0032149	FBtr0079870	FBpp0079466	-	CG4036	34302	protein_coding
FBgn0032149	FBtr0303447	FBpp0292502	-	CG4036	34302	protein_coding
FBgn0038369	FBtr0334594	FBpp0306661	-	Arpc3A	41917	protein_coding
FBgn0038369	FBtr0300570	FBpp0289797	-	Arpc3A	41917	protein_coding
FBgn0038349	FBtr0433535	FBpp0390664	-	AOX3	41896	protein_coding
FBgn0038349	FBtr0083151	FBpp0082605	-	AOX3	41896	protein_coding
FBgn0034094	FBtr0087130	FBpp0086274	-	Tsf3	36800	protein_coding
FBgn0261524	FBtr0073720	FBpp0073551	-	lic	32257	protein_coding
FBgn0025454	FBtr0339596	FBpp0308668	-	Cyp6g1	36316	protein_coding
FBgn0025454	FBtr0087992	FBpp0087100	-	Cyp6g1	36316	protein_coding
FBgn0053222	FBtr0300634	-	-	CR33222	-	pseudogene
FBgn0053222	FBtr0300652	-	-	CR33222	-	pseudogene
FBgn0050290	FBtr0342959	FBpp0309730	-	Ppcdc	246533	protein_coding
FBgn0050290	FBtr0071672	FBpp0071589	-	Ppcdc	246533	protein_coding
FBgn0264985	FBtr0335442	-	-	lncRNA:CR44136	-	ncRNA
FBgn0035044	FBtr0072323	FBpp0072230	-	CG3663	37944	protein_coding
FBgn0283472	FBtr0333264	FBpp0305462	-	S6k	38654	protein_coding
FBgn0283472	FBtr0077114	FBpp0076820	-	S6k	38654	protein_coding
FBgn0039326	FBtr0084851	FBpp0084225	-	CG10562	43066	protein_coding
FBgn0266233	FBtr0343896	-	-	lncRNA:CR44928	-	ncRNA
FBgn0010228	FBtr0342960	FBpp0309731	-	HmgZ	37480	protein_coding
FBgn0010228	FBtr0071674	FBpp0071591	-	HmgZ	37480	protein_coding
FBgn0010228	FBtr0071673	FBpp0071590	-	HmgZ	37480	protein_coding
FBgn0010228	FBtr0345488	FBpp0311599	-	HmgZ	37480	protein_coding
FBgn0042696	FBtr0333678	FBpp0305834	-	NfI	43782	protein_coding
FBgn0042696	FBtr0089141	FBpp0088208	-	NfI	43782	protein_coding
FBgn0267195	FBtr0346329	-	-	lncRNA:CR45635	-	ncRNA
FBgn0261291	FBtr0091686	FBpp0091011	-	CheA86a	3772145	protein_coding
FBgn0053233	FBtr0273190	FBpp0271698	-	CG33233	2769005	protein_coding
FBgn0053233	FBtr0301038	FBpp0290260	-	CG33233	2769005	protein_coding
FBgn0265877	FBtr0474747	FBpp0423213	-	CG44666	-	protein_coding
FBgn0034642	FBtr0342954	FBpp0309726	-	CG15674	37463	protein_coding
FBgn0034642	FBtr0071659	FBpp0071576	-	CG15674	37463	protein_coding
FBgn0035154	FBtr0072609	FBpp0072505	-	hiro	38083	protein_coding
FBgn0003353	FBtr0072170	FBpp0072079	-	sei	37843	protein_coding
FBgn0003353	FBtr0072169	FBpp0072078	-	sei	37843	protein_coding
FBgn0003353	FBtr0343342	FBpp0310000	-	sei	37843	protein_coding
FBgn0265907	FBtr0342831	-	-	lncRNA:CR44696	-	ncRNA
FBgn0036685	FBtr0075293	FBpp0075053	-	CG6664	39903	protein_coding
FBgn0036685	FBtr0075294	FBpp0075054	-	CG6664	39903	protein_coding
FBgn0036685	FBtr0075295	FBpp0075055	-	CG6664	39903	protein_coding
FBgn0267767	FBtr0347331	-	-	lncRNA:CR46098	-	ncRNA
FBgn0005638	FBtr0072272	FBpp0072179	-	slbo	37889	protein_coding
FBgn0005638	FBtr0339359	FBpp0308452	-	slbo	37889	protein_coding
FBgn0051390	FBtr0082311	FBpp0081787	-	MED7	41288	protein_coding
FBgn0261292	FBtr0091520	FBpp0090972	-	CheB53a	3346205	protein_coding
FBgn0053116	FBtr0081249	FBpp0080790	-	CG33116	326259	protein_coding
FBgn0011591	FBtr0078267	FBpp0077925	-	fng	40314	protein_coding
FBgn0262103	FBtr0304025	FBpp0292994	-	Sik3	37152	protein_coding
FBgn0262103	FBtr0344258	FBpp0310663	-	Sik3	37152	protein_coding
FBgn0262103	FBtr0304026	FBpp0292995	-	Sik3	37152	protein_coding
FBgn0262103	FBtr0304024	FBpp0292993	-	Sik3	37152	protein_coding
FBgn0262103	FBtr0344259	FBpp0310664	-	Sik3	37152	protein_coding
FBgn0262103	FBtr0340388	FBpp0309334	-	Sik3	37152	protein_coding
FBgn0033919	FBtr0301203	FBpp0290421	-	CG8547	36586	protein_coding
FBgn0033919	FBtr0301204	FBpp0290422	-	CG8547	36586	protein_coding
FBgn0033919	FBtr0339968	FBpp0308989	-	CG8547	36586	protein_coding
FBgn0065073	FBtr0091664	-	-	snoRNA:229	-	snoRNA
FBgn0030078	FBtr0346175	FBpp0311999	-	CG10970	31830	protein_coding
FBgn0030078	FBtr0071356	FBpp0071291	-	CG10970	31830	protein_coding
FBgn0039972	FBtr0085958	FBpp0085311	-	Marf1	49895	protein_coding
FBgn0039972	FBtr0085957	FBpp0085310	-	Marf1	49895	protein_coding
FBgn0039972	FBtr0085956	FBpp0085309	-	Marf1	49895	protein_coding
FBgn0039972	FBtr0306235	FBpp0297345	-	Marf1	49895	protein_coding
FBgn0039972	FBtr0306236	FBpp0297346	-	Marf1	49895	protein_coding
FBgn0265099	FBtr0344615	-	-	lncRNA:CR44204	-	ncRNA
FBgn0037483	FBtr0081573	FBpp0081092	-	CG14609	40864	protein_coding
FBgn0037483	FBtr0346144	FBpp0311972	-	CG14609	40864	protein_coding
FBgn0050239	FBtr0087128	-	-	tRNA:Glu-CTC-1-1	-	tRNA
FBgn0261505	FBtr0302396	-	-	CR42653	-	pseudogene
FBgn0261505	FBtr0334741	-	-	CR42653	-	pseudogene
FBgn0051383	FBtr0085637	-	-	tRNA:Leu-TAG-1-1	-	tRNA
FBgn0013348	FBtr0086102	FBpp0085438	-	TpnC41C	35473	protein_coding
FBgn0013348	FBtr0310003	FBpp0301709	-	TpnC41C	35473	protein_coding
FBgn0033963	FBtr0329881	FBpp0302916	-	CG12857	36642	protein_coding
FBgn0033963	FBtr0087469	FBpp0086598	-	CG12857	36642	protein_coding
FBgn0037656	FBtr0081967	FBpp0081447	-	CG11986	41083	protein_coding
FBgn0034641	FBtr0304728	FBpp0293270	-	mahj	37462	protein_coding
FBgn0034641	FBtr0071658	FBpp0071575	-	mahj	37462	protein_coding
FBgn0011586	FBtr0333605	FBpp0305782	-	e(r)	43951	protein_coding
FBgn0011586	FBtr0310067	FBpp0301768	-	e(r)	43951	protein_coding
FBgn0011586	FBtr0071266	FBpp0071209	-	e(r)	43951	protein_coding
FBgn0011586	FBtr0333604	FBpp0305781	-	e(r)	43951	protein_coding
FBgn0011586	FBtr0071267	FBpp0071210	-	e(r)	43951	protein_coding
